genes	Goterms	Annotation GO Category
A0A1D8NM85	site-specific DNA replication termination at RTS1 barrier	Biological Process
A0A1D8NM85	mitotic DNA replication termination	Biological Process
A0A1D8NIZ1	oxidoreductase activity	Molecular Function
A0A1D8NIZ1	oxidation-reduction process	Biological Process
A0A1H6PW66	serine-type endopeptidase activity	Molecular Function
A0A1H6PW66	proteolysis	Biological Process
A0A1D8N898	translation initiation factor activity	Molecular Function
A0A1D8N898	transcription factor TFIID complex	Cellular Component
A0A1D8N898	transcription factor TFIIF complex	Cellular Component
A0A1D8N898	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8N898	translational initiation	Biological Process
A0A1D8N898	SWI/SNF complex	Cellular Component
A0A1D8N898	TBP-class protein binding	Molecular Function
A0A1D8N898	Ino80 complex	Cellular Component
A0A1D8N898	NuA3 histone acetyltransferase complex	Cellular Component
A0A1D8N898	ATP-dependent chromatin remodeling	Biological Process
A0A1D8N898	regulation of nucleosome density	Biological Process
A0A1D8N4X6	integral component of membrane	Cellular Component
A0A1H6Q6T4		
A0A1D8N6G2	phosphorelay sensor kinase activity	Molecular Function
A0A1D8N6G2	phosphorelay signal transduction system	Biological Process
A0A1D8N6G2	intracellular	Cellular Component
A0A1D8N6G2	integral component of membrane	Cellular Component
A0A1D8N6G2	signal transduction by protein phosphorylation	Biological Process
A0A1D8N6G2	protein dimerization activity	Molecular Function
A0A1D8NGX7	transcription factor TFIID complex	Cellular Component
A0A1D8NGX7	protein heterodimerization activity	Molecular Function
A0A1H6Q9H1		
A0A1D8N4Z2	vacuolar membrane	Cellular Component
A0A1D8N4Z2	integral component of membrane	Cellular Component
A0A1D8N4Z2	transmembrane transport	Biological Process
A0A1H6PPQ8	angiogenesis	Biological Process
A0A1H6PPQ8	dolichol biosynthetic process	Biological Process
A0A1H6PPQ8	dehydrodolichyl diphosphate synthase complex	Cellular Component
A0A1H6PZ07	endoplasmic reticulum membrane	Cellular Component
A0A1H6PZ07	protein transport	Biological Process
A0A1H6PZ07	"hydrolase activity, acting on ester bonds"	Molecular Function
A0A1D8NB36	hydrolase activity	Molecular Function
A0A1H6PYR5	integral component of membrane	Cellular Component
A0A1D8NNZ0	mitochondrial respiratory chain complex I	Cellular Component
A0A1D8NNZ0	mitochondrial respiratory chain complex I assembly	Biological Process
A0A1H6PHQ8	ATPase activator activity	Molecular Function
A0A1H6PHQ8	response to stress	Biological Process
A0A1H6PHQ8	cellular process	Biological Process
A0A1H6PHQ8	positive regulation of ATPase activity	Biological Process
A0A1H6PHQ8	chaperone binding	Molecular Function
A0A1H6PJP7		
A0A1H6PRF5	vesicle-mediated transport	Biological Process
A0A1H6PRF5	integral component of Golgi membrane	Cellular Component
A0A1H6PW03	mitochondrial RNA 3'-end processing	Biological Process
A0A1H6PW03	ATP-dependent RNA helicase activity	Molecular Function
A0A1H6PW03	RNA catabolic process	Biological Process
A0A1H6PW03	mitochondrial degradosome	Cellular Component
A0A1D8NC96		
A0A1D8N772	mitochondrion inheritance	Biological Process
A0A1D8N772	microtubule cytoskeleton organization	Biological Process
A0A1D8N772	mitochondrial fission	Biological Process
A0A1D8N772	phospholipid binding	Molecular Function
A0A1D8N772	mitochondrion	Cellular Component
A0A1D8N772	cell cortex	Cellular Component
A0A1D8N772	tubulin binding	Molecular Function
A0A1D8N772	dynein-driven meiotic oscillatory nuclear movement	Biological Process
A0A1D8N772	cortical protein anchoring	Biological Process
A0A1D8NIX7		
A0A1D8N5R1		
A0A1D8NDY2	integral component of membrane	Cellular Component
A0A1D8NPZ9	acid phosphatase activity	Molecular Function
A0A1D8NPZ9	phospholipid catabolic process	Biological Process
A0A1D8NPZ9	dephosphorylation	Biological Process
A0A1H6PKJ6	box C/D snoRNP assembly	Biological Process
A0A1H6PKJ6	Swr1 complex	Cellular Component
A0A1H6PKJ6	ATP binding	Molecular Function
A0A1H6PKJ6	nuclear telomeric heterochromatin	Cellular Component
A0A1H6PKJ6	DNA repair	Biological Process
A0A1H6PKJ6	regulation of transcription by RNA polymerase II	Biological Process
A0A1H6PKJ6	rRNA processing	Biological Process
A0A1H6PKJ6	histone acetylation	Biological Process
A0A1H6PKJ6	Ino80 complex	Cellular Component
A0A1H6PKJ6	DNA duplex unwinding	Biological Process
A0A1H6PKJ6	NuA4 histone acetyltransferase complex	Cellular Component
A0A1H6PKJ6	ATP-dependent 3'-5' DNA helicase activity	Molecular Function
A0A1H6PKJ6	ATP-dependent 5'-3' DNA helicase activity	Molecular Function
A0A1H6PKJ6	histone exchange	Biological Process
A0A1H6PKJ6	R2TP complex	Cellular Component
A0A1H6PRM9		
A0A1H6PS36		
A0A1D8NMU8	binding	Molecular Function
A0A1D8NMU8	cellular response to drug	Biological Process
A0A1D8NC47		
A0A1D8NE51	actin binding	Molecular Function
A0A1D8NE51	Rho GTPase binding	Molecular Function
A0A1D8NE51	actin cytoskeleton organization	Biological Process
A0A1D8NQ89		
A0A1D8N3B2		
A0A1H6Q0Z3		
A0A1D8NL41		
A0A1D8NKT8	thioredoxin-disulfide reductase activity	Molecular Function
A0A1D8NKT8	cytoplasm	Cellular Component
A0A1D8NKT8	glycerol ether metabolic process	Biological Process
A0A1D8NKT8	protein disulfide oxidoreductase activity	Molecular Function
A0A1D8NKT8	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	Molecular Function
A0A1D8NKT8	cellular response to oxidative stress	Biological Process
A0A1D8NKT8	cell redox homeostasis	Biological Process
A0A1D8NKT8	protein-disulfide reductase activity	Molecular Function
A0A1D8NKT8	oxidation-reduction process	Biological Process
A0A1D8NKT8	cellular oxidant detoxification	Biological Process
A0A1D8NP76	Hrd1p ubiquitin ligase ERAD-L complex	Cellular Component
A0A1D8NP76	integral component of endoplasmic reticulum membrane	Cellular Component
A0A1D8NP76	ubiquitin-dependent ERAD pathway	Biological Process
A0A1D8NP76	ubiquitin binding	Molecular Function
A0A1D8NP76	regulation of catalytic activity	Biological Process
A0A1D8NP76	ubiquitin-protein transferase activator activity	Molecular Function
A0A1D8NKC9		
A0A1D8NCJ6	incipient cellular bud site	Cellular Component
A0A1D8NCJ6	chitin synthase activity	Molecular Function
A0A1D8NCJ6	prospore membrane	Cellular Component
A0A1D8NCJ6	cellular bud neck	Cellular Component
A0A1D8NCJ6	cell wall chitin biosynthetic process	Biological Process
A0A1D8NCJ6	integral component of membrane	Cellular Component
A0A1D8NCJ6	cell septum	Cellular Component
A0A1D8NCJ6	ascospore wall assembly	Biological Process
A0A1D8NCJ6	chitosome	Cellular Component
A0A1D8NCJ6	cell periphery	Cellular Component
A0A1D8NCJ6	protein localization to bud neck	Biological Process
A0A1H6PVB0		
A0A1H6Q182	intracellular part	Cellular Component
A0A1H6Q182	regulation of molecular function	Biological Process
A0A1H6Q182	regulation of DNA biosynthetic process	Biological Process
A0A1D8NPP1		
A0A1D8NB64		
A0A1H6PVR5	RNA polymerase II proximal promoter sequence-specific DNA binding	Molecular Function
A0A1H6PVR5	"proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific"	Molecular Function
A0A1H6PVR5	nucleus	Cellular Component
A0A1H6PVR5	zinc ion binding	Molecular Function
A0A1H6PVR5	positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source	Biological Process
A0A1H6PMI5		
A0A1D8NME2	protein serine/threonine/tyrosine kinase activity	Molecular Function
A0A1D8NME2	ATP binding	Molecular Function
A0A1D8NME2	protein phosphorylation	Biological Process
A0A1D8NME2	mitotic cell cycle checkpoint	Biological Process
A0A1D8NME2	chromosome separation	Biological Process
A0A1H6Q154	telomere maintenance	Biological Process
A0A1H6Q154	chromatin binding	Molecular Function
A0A1H6Q154	mRNA cleavage and polyadenylation specificity factor complex	Cellular Component
A0A1H6Q154	"termination of RNA polymerase II transcription, poly(A)-coupled"	Biological Process
A0A1H6Q154	"termination of RNA polymerase II transcription, exosome-dependent"	Biological Process
A0A1H6Q154	mRNA 3'-end processing	Biological Process
A0A1H6Q154	snoRNA 3'-end processing	Biological Process
A0A1H6Q154	histone H3-K79 methylation	Biological Process
A0A1H6Q154	histone methyltransferase activity (H3-K4 specific)	Molecular Function
A0A1H6Q154	Set1C/COMPASS complex	Cellular Component
A0A1H6Q154	histone H3-K4 trimethylation	Biological Process
A0A1D8NHS2		
A0A1D8NHL7		
A0A1D8NMJ2		
A0A1D8NNR5	incipient cellular bud site	Cellular Component
A0A1D8NNR5	MAP-kinase scaffold activity	Molecular Function
A0A1D8NNR5	actomyosin contractile ring	Cellular Component
A0A1D8NNR5	cellular bud tip	Cellular Component
A0A1D8NNR5	cellular bud neck	Cellular Component
A0A1D8NNR5	bipolar cellular bud site selection	Biological Process
A0A1D8NNR5	pseudohyphal growth	Biological Process
A0A1D8NNR5	mating projection assembly	Biological Process
A0A1D8NNR5	invasive filamentous growth	Biological Process
A0A1D8NNR5	mating projection tip	Cellular Component
A0A1D8NNR5	positive regulation of MAPK cascade	Biological Process
A0A1D8NNR5	cell cortex of growing cell tip	Cellular Component
A0A1D8N5Q6		
A0A1D8N8P1		
A0A1D8NCV9		
A0A1D8NHX4	RNA-directed DNA polymerase activity	Molecular Function
A0A1D8NHX4	RNA-dependent DNA biosynthetic process	Biological Process
A0A1D8NCD3	exonuclease activity	Molecular Function
A0A1D8NCD3	binding	Molecular Function
A0A1D8NCD3	cytoplasm	Cellular Component
A0A1D8NCD3	RNA catabolic process	Biological Process
A0A1D8NCD3	negative regulation of gene expression	Biological Process
A0A1D8NCD3	ncRNA metabolic process	Biological Process
A0A1D8NCD3	intracellular organelle	Cellular Component
A0A1D8NCD3	positive regulation of RNA metabolic process	Biological Process
A0A1D8NCD3	regulation of cellular macromolecule biosynthetic process	Biological Process
A0A1H6PII3	mitochondrial intermembrane space	Cellular Component
A0A1H6PII3	cytosol	Cellular Component
A0A1H6PII3	"3,4-dihydroxy-2-butanone-4-phosphate synthase activity"	Molecular Function
A0A1H6PII3	aerobic respiration	Biological Process
A0A1H6PII3	riboflavin biosynthetic process	Biological Process
A0A1H6PII3	metal ion binding	Molecular Function
A0A1H6PII3	fungal biofilm matrix	Cellular Component
A0A1D8NE42	fungal-type vacuole	Cellular Component
A0A1D8NE42	mRNA binding	Molecular Function
A0A1D8NE42	structural constituent of ribosome	Molecular Function
A0A1D8NE42	mitochondrial large ribosomal subunit	Cellular Component
A0A1D8NE42	translation	Biological Process
A0A1H6PZ86		
A0A1D8NC85	box C/D snoRNP assembly	Biological Process
A0A1D8NC85	Swr1 complex	Cellular Component
A0A1D8NC85	ATP binding	Molecular Function
A0A1D8NC85	DNA repair	Biological Process
A0A1D8NC85	regulation of transcription by RNA polymerase II	Biological Process
A0A1D8NC85	histone acetylation	Biological Process
A0A1D8NC85	Ino80 complex	Cellular Component
A0A1D8NC85	DNA duplex unwinding	Biological Process
A0A1D8NC85	NuA4 histone acetyltransferase complex	Cellular Component
A0A1D8NC85	ATP-dependent 3'-5' DNA helicase activity	Molecular Function
A0A1D8NC85	ATP-dependent 5'-3' DNA helicase activity	Molecular Function
A0A1D8NC85	histone exchange	Biological Process
A0A1D8NC85	regulation of nucleosome density	Biological Process
A0A1D8NC85	ASTRA complex	Cellular Component
A0A1D8NC85	R2TP complex	Cellular Component
A0A1D8NHZ7		
A0A1D8N539		
A0A1D8N6R6	helicase activity	Molecular Function
A0A1D8N6R6	organic cyclic compound binding	Molecular Function
A0A1D8N6R6	heterocyclic compound binding	Molecular Function
A0A1D8N548		
A0A1D8NI28		
A0A1D8NK65	integral component of membrane	Cellular Component
A0A1D8NK65	transmembrane transport	Biological Process
A0A1D8NK34		
A0A1D8N9X8		
A0A1D8NEQ9		
A0A1D8NIE0	intracellular protein transport	Biological Process
A0A1D8NIE0	ER to Golgi vesicle-mediated transport	Biological Process
A0A1D8NIE0	zinc ion binding	Molecular Function
A0A1D8NIE0	COPII vesicle coat	Cellular Component
A0A1D8NPT5		
A0A1D8N9F9		
A0A1D8NF01	"N,N-dimethylaniline monooxygenase activity"	Molecular Function
A0A1D8NF01	flavin adenine dinucleotide binding	Molecular Function
A0A1D8NF01	NADP binding	Molecular Function
A0A1D8NF01	oxidation-reduction process	Biological Process
A0A1D8NKP3	integral component of membrane	Cellular Component
A0A1D8NLG5	mitotic cell cycle	Biological Process
A0A1D8NLG5	DNA binding	Molecular Function
A0A1D8NLG5	DNA ligase (ATP) activity	Molecular Function
A0A1D8NLG5	ATP binding	Molecular Function
A0A1D8NLG5	lagging strand elongation	Biological Process
A0A1D8NLG5	DNA recombination	Biological Process
A0A1D8NLG5	organelle organization	Biological Process
A0A1D8NLG5	intracellular membrane-bounded organelle	Cellular Component
A0A1D8NLG5	DNA ligation involved in DNA repair	Biological Process
A0A1D8NLG5	DNA biosynthetic process	Biological Process
A0A1H6PVX7	phospholipid binding	Molecular Function
A0A1H6PVX7	protein transmembrane transporter activity	Molecular Function
A0A1H6PVX7	mitochondrial intermembrane space protein transporter complex	Cellular Component
A0A1H6PVX7	TIM22 mitochondrial import inner membrane insertion complex	Cellular Component
A0A1H6PVX7	protein import into mitochondrial inner membrane	Biological Process
A0A1H6PVX7	metal ion binding	Molecular Function
A0A1H6PXW1	endoplasmic reticulum membrane	Cellular Component
A0A1H6PXW1	intracellular protein transport	Biological Process
A0A1H6PXW1	ER to Golgi vesicle-mediated transport	Biological Process
A0A1H6PXW1	integral component of membrane	Cellular Component
A0A1H6PXW1	protein localization to endoplasmic reticulum exit site	Biological Process
A0A1H6Q2E8	ubiquinone biosynthetic process	Biological Process
A0A1H6Q2E8	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"	Molecular Function
A0A1H6Q2E8	extrinsic component of mitochondrial inner membrane	Cellular Component
A0A1H6Q2E8	metal ion binding	Molecular Function
A0A1H6Q2E8	oxidation-reduction process	Biological Process
A0A1H6PP71	glutamate-cysteine ligase activity	Molecular Function
A0A1H6PP71	glutathione biosynthetic process	Biological Process
A0A1H6PP71	membrane	Cellular Component
A0A1H6PP71	glutamate-cysteine ligase complex	Cellular Component
A0A1H6PP71	response to cadmium ion	Biological Process
A0A1D8NAP3	ubiquitin-dependent protein catabolic process	Biological Process
A0A1D8NAP3	protein deubiquitination	Biological Process
A0A1D8NAP3	thiol-dependent ubiquitinyl hydrolase activity	Molecular Function
A0A1H6Q5B4	magnesium ion binding	Molecular Function
A0A1H6Q5B4	catalytic activity	Molecular Function
A0A1H6Q5B4	thiamine pyrophosphate binding	Molecular Function
A0A1D8NMU9		
A0A1D8N500	integral component of membrane	Cellular Component
A0A1H6PXU4		
A0A1D8NF16		
A0A1H6PJB6		
A0A1H6PNL9	"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"	Biological Process
A0A1H6PNL9	structural constituent of ribosome	Molecular Function
A0A1H6PNL9	translation	Biological Process
A0A1H6PNL9	cytosolic small ribosomal subunit	Cellular Component
A0A1H6PZ92		
A0A1H6PXG0	vesicle docking involved in exocytosis	Biological Process
A0A1H6QCP7	methylenetetrahydrofolate reductase (NAD(P)H) activity	Molecular Function
A0A1H6QCP7	cytosol	Cellular Component
A0A1H6QCP7	methionine biosynthetic process	Biological Process
A0A1H6QCP7	tetrahydrofolate interconversion	Biological Process
A0A1H6QCP7	oxidation-reduction process	Biological Process
A0A1D8NMM3		
A0A1D8NF94	carbohydrate:proton symporter activity	Molecular Function
A0A1D8NF94	glucose transmembrane transporter activity	Molecular Function
A0A1D8NF94	integral component of membrane	Cellular Component
A0A1D8NF94	glucose import	Biological Process
A0A1D8NF94	proton transmembrane transport	Biological Process
A0A1D8N4S7		
A0A1D8NPS4	RNA binding	Molecular Function
A0A1D8NPS4	structural constituent of ribosome	Molecular Function
